action_canonical_key,action_index,action_type,actor,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_needed_to_flip_top1,entropy_coef,episode_id,final_rank,iteration,legal_count,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,old_log_prob,old_value,opponent_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,terminal_reward,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold
0|tile=6|consumed=|from=-1|flags=0,6,0,0,-1.240635871887207,-1.0689185857772827,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.00600004196167,0.01,d2e57661,3,0,13,0.0,3,0.003,-2.62652587890625,-0.07531891763210297,rulebase,0,3.0,0.6273044943809509,tempered_current_logits,0,-1.1442375183105469,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.031044820323586464,8,93,0,-1.5,4,0.001,0.75
0|tile=18|consumed=|from=-1|flags=0,2,0,0,-1.287460207939148,-1.1108218431472778,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.002000093460083,0.01,d2e57661,3,0,13,0.0,3,0.003,-2.625708818435669,-0.08895670622587204,rulebase,0,3.0,0.6273044943809509,tempered_current_logits,0,-1.1997785568237305,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03116924688220024,4,93,16,-1.5,4,0.001,0.75
0|tile=24|consumed=|from=-1|flags=0,7,0,0,-1.3295766115188599,-1.1485120058059692,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.006999969482422,0.01,d2e57661,3,0,13,0.0,3,0.003,-2.6266398429870605,-0.1086922138929367,rulebase,0,3.0,0.6273627877235413,tempered_current_logits,0,-1.2572041749954224,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.031016675755381584,9,93,32,-1.5,4,0.001,0.75
0|tile=4|consumed=|from=-1|flags=0,6,0,0,-1.321947693824768,-1.141684889793396,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.00600004196167,0.01,d2e57661,3,0,13,0.0,3,0.003,-2.62648344039917,-0.1726035475730896,rulebase,0,3.0,0.6273044943809509,tempered_current_logits,0,-1.3142883777618408,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.031044820323586464,8,93,48,-1.5,4,0.001,0.75
0|tile=0|consumed=|from=-1|flags=0,0,0,0,-1.3963367938995361,-1.2082560062408447,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.0,0.01,d2e57661,3,0,13,0.0,3,0.003,-2.625338315963745,-0.16644525527954102,rulebase,0,3.0,0.6273044943809509,tempered_current_logits,0,-1.3747012615203857,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.031231651082634926,2,93,64,-1.5,4,0.001,0.75
0|tile=16|consumed=|from=-1|flags=0,8,0,0,-1.4258513450622559,-1.2346687316894531,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.007999897003174,0.01,d2e57661,3,0,12,0.0,3,0.003,-2.551934003829956,-0.20176593959331512,rulebase,0,3.0,0.6472995281219482,tempered_current_logits,0,-1.4364346265792847,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03197035938501358,10,93,80,-1.5,4,0.001,0.75
0|tile=15|consumed=|from=-1|flags=0,7,0,0,-1.4667925834655762,-1.2713072299957275,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.006999969482422,0.01,d2e57661,3,0,12,0.0,3,0.003,-2.551696538925171,-0.22869277000427246,rulebase,0,3.0,0.6472995281219482,tempered_current_logits,0,-1.5,-1.5,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.032002344727516174,9,93,96,-1.5,4,0.001,0.75
0|tile=22|consumed=|from=-1|flags=0,8,0,0,-1.138533592224121,-0.977546751499176,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.007999897003174,0.01,4f885ea3,3,0,11,0.0,3,0.003,-2.4707303047180176,-0.09376467764377594,rulebase,0,3.0,0.668743908405304,tempered_current_logits,0,-1.0713114738464355,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.033029504120349884,9,93,0,-1.5,4,0.001,0.75
0|tile=2|consumed=|from=-1|flags=0,3,0,0,-1.1392114162445068,-0.9781534075737,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.003000020980835,0.01,4f885ea3,3,0,11,0.0,3,0.003,-2.469809055328369,-0.14206567406654358,rulebase,0,3.0,0.6686332821846008,tempered_current_logits,0,-1.120219111442566,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.033189572393894196,5,93,16,-1.5,4,0.001,0.75
0|tile=5|consumed=|from=-1|flags=0,8,0,0,-1.2021974325180054,-1.0345197916030884,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.007999897003174,0.01,4f885ea3,3,0,10,0.0,3,0.003,-2.3824684619903564,-0.1374252587556839,rulebase,0,3.0,0.6915158033370972,tempered_current_logits,0,-1.1719450950622559,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.034154217690229416,9,93,32,-1.5,4,0.001,0.75
