action_canonical_key,action_index,action_type,actor,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_needed_to_flip_top1,entropy_coef,episode_id,final_rank,iteration,legal_count,lr,old_log_prob,old_value,opponent_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,terminal_reward
0|tile=27|consumed=|from=-1|flags=0,10,0,0,0.39147454500198364,0.367065966129303,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3.0,0.01,da802882,1,0,12,0.0001,-0.6900631189346313,-0.1358184814453125,rulebase,0,3.0,0.6472995281219482,tempered_current_logits,0,0.23124748468399048,0.0,0.01,True,0.6472995281219482,1,93,0,0.5
0|tile=16|consumed=|from=-1|flags=0,8,0,0,0.4179627299308777,0.3906019330024719,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3.007999897003174,0.01,da802882,1,0,12,0.0001,-3.0961124897003174,-0.13982436060905457,rulebase,0,3.000999927520752,0.6475072503089905,tempered_current_logits,0,0.25077757239341736,0.0,0.01,False,0.03198062255978584,9,93,16,0.5
0|tile=10|consumed=|from=-1|flags=0,1,0,0,0.477835476398468,0.4438016414642334,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3.0,0.01,da802882,1,0,11,0.0001,-0.6435720324516296,-0.1708339899778366,rulebase,0,3.0,0.6688105463981628,tempered_current_logits,0,0.2729676365852356,0.0,0.01,True,0.6688105463981628,1,93,32,0.5
0|tile=31|consumed=|from=-1|flags=0,10,0,0,0.46306341886520386,0.4306759536266327,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3.0,0.01,da802882,1,0,11,0.0001,-0.6439111828804016,-0.1361744999885559,rulebase,0,3.0,0.6686112284660339,tempered_current_logits,0,0.2945014536380768,0.0,0.01,True,0.6686112284660339,1,93,48,0.5
0|tile=5|consumed=|from=-1|flags=0,4,0,0,0.47352081537246704,0.4399678409099579,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3.0,0.01,da802882,1,0,10,0.0001,-0.5952604413032532,-0.12346801161766052,rulebase,0,3.0,0.691539466381073,tempered_current_logits,0,0.31649982929229736,0.0,0.01,True,0.691539466381073,1,93,64,0.5
0|tile=11|consumed=|from=-1|flags=1,2,0,0,0.4731765687465668,0.4396619498729706,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3.0,0.01,da802882,1,0,11,0.0001,-0.6436179280281067,-0.10117901116609573,rulebase,0,3.0,0.6687882542610168,tempered_current_logits,0,0.33848294615745544,0.0,0.01,True,0.6687882542610168,1,93,80,0.5
0|tile=27|consumed=|from=-1|flags=1,10,0,0,0.5977739691734314,0.5503725409507751,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3.0,0.01,da802882,1,0,11,0.0001,-0.6439236998558044,-0.1843709796667099,rulebase,0,3.0,0.6686112284660339,tempered_current_logits,0,0.36600154638290405,0.0,0.01,True,0.6686112284660339,1,93,96,0.5
0|tile=33|consumed=|from=-1|flags=1,10,0,0,0.647767186164856,0.5947938561439514,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3.0,0.01,da802882,1,0,11,0.0001,-0.643907368183136,-0.1990526020526886,rulebase,0,3.0,0.6686112284660339,tempered_current_logits,0,0.3957412540912628,0.0,0.01,True,0.6686112284660339,1,93,112,0.5
0|tile=26|consumed=|from=-1|flags=0,9,0,0,0.6504760384559631,0.5972008109092712,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3.009000062942505,0.01,da802882,1,0,11,0.0001,-3.051112413406372,-0.17159950733184814,rulebase,0,3.0,0.6686112284660339,tempered_current_logits,0,0.4256013035774231,0.0,0.01,False,0.03298994153738022,11,93,128,0.5
0|tile=7|consumed=|from=-1|flags=0,7,0,0,0.798094630241394,0.7283667325973511,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3.006999969482422,0.01,da802882,1,0,11,0.0001,-3.0491647720336914,-0.26634711027145386,rulebase,0,3.0,0.6688105463981628,tempered_current_logits,0,0.4620196223258972,0.0,0.01,False,0.03306584432721138,8,93,144,0.5
